num 	Nangang	 Taipei 	Banqiao 	Taoyuan	 Hsinchu	Miaoli 	Taichung	Changhua Yunlin	Chiayi	Tainan	Zuoying
502	720	712	702	649	637	624	605	0	0	0	0	0
1504	745	737	727	714	702	649	630	0	0	0	0	0
508	810	801	750	738	725	712	652	0	0	0	0	0
300	755	747	0	728	0	0	656	644	634	621	603	550
1510	830	821	810	758	745	731	712	0	0	0	0	0
802	840	832	822	810	758	745	725	713	700	648	629	615
1202	815	807	0	0	0	0	721	0	0	657	638	625
1602	850	842	831	818	805	0	740	0	0	712	653	640
1302	855	847	0	827	0	0	753	742	732	719	659	645
204	845	837	827	0	0	0	748	0	0	0	707	655
606	910	902	851	838	825	0	800	0	0	732	713	700
1514	925	916	905	851	839	824	804	0	0	0	0	0
206	905	857	847	0	0	0	808	0	0	0	728	715
806	950	942	932	920	908	856	836	824	812	800	741	725
610	945	936	925	911	857	0	832	0	0	808	748	735
108	940	932	921	0	0	0	839	0	0	0	0	755
612	1010	1002	951	938	925	0	900	0	0	832	813	800
1210	1005	957	947	0	0	0	908	0	0	0	828	815
810	1050	1042	1032	1020	1008	956	936	924	912	900	841	825
616	1045	1036	1025	1011	957	0	932	0	0	908	848	835
112	1040	1032	1021	0	0	0	939	0	0	0	0	855
618	1110	1102	1051	1038	1025	0	1000	0	0	932	913	900
1522	1125	1116	1105	1051	1039	1024	1004	0	0	0	0	0
1214	1105	1057	1047	0	0	0	1008	0	0	0	928	915
814	1150	1142	1132	1120	1108	1056	1036	1024	1012	1000	941	925
1622	1145	1136	1125	1111	1057	0	1032	0	0	1008	948	935
116	1140	1132	1121	0	0	0	1039	0	0	0	0	955
624	1210	1202	1151	1138	1125	0	1100	0	0	1032	1013	1000
1218	1205	1157	1147	0	0	0	1108	0	0	0	1028	1015
818	1250	1242	1232	1220	1208	1156	1136	1124	1112	1100	1041	1025
628	1245	1236	1225	1211	1157	0	1132	0	0	1108	1048	1035
120	1240	1232	1221	0	0	0	1139	0	0	0	0	1055
